ltable_ID,rtable_ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,lRating,rRating
a3146,b3156,Hard Reset,The Flying Wild Hog|Flying Wild Hog,E-Frontier|Flying Wild Hog|Kalypso|Gambitious,PlayStation|PC|Xbox,First-person shooter|First-Person|Action|Shooter|3D,2011-09-13,7.2,6.6
a3148,b3159,Hard Truck: Apocalypse,Targem Games|Buka Entertainment,cdv Software|Nival Interactive|Buka Entertainment,PC,Action|Car Combat|Simulation,2006-06-26,7.2,6.5
a316,b390,Ape Escape: On the Loose,Sony Computer Entertainment|SCEA|Sims,SCEA|SCEI|SCE Korea|Sony Computer Entertainment|SCEE|SCE Australia,PlayStation,Action|Platformer|3D|Platform,2005-03-22,7.7,6.9
a3161,b3162,HarmoKnight,Game Freak,Nintendo,Nintendo,Music/Rhythm|Platform,2013-03-28,8.0,7.3
a3163,b3166,Harry Potter and the Chamber of Secrets,KnowWonder|Argonaut Games|Griptonite Games|Eurocom Entertainment Software|Various|Electronic Arts,Aspyr|Electronic Arts|EA Games|Warner Bros. Interactive Entertainment|Electronic Arts Victor,PlayStation|Nintendo|Macintosh|PC|Xbox,Action|Adventure,2002-11-05,7.2,7.2
a3164,b3167,Harry Potter and the Deathly Hallows - Part 1,Electronic Arts|Full Fat|EA Bright Light,Electronic Arts,PlayStation|Nintendo|Wii|PC|Xbox,Third-person action-adventure|Third-Person|Action|Shooter|3D,2010-11-16,5.7,4.7
a3165,b3168,Harry Potter and the Deathly Hallows - Part 2,Full Fat|EA Bright Light,Electronic Arts,PlayStation|Nintendo|Wii|PC|Xbox,Third-Person|Third-Person Shooter|Action|Shooter|3D,2011-07-12,5.1,5.7
a3166,b3169,Harry Potter and the Goblet of Fire,Magic Pockets|EA UK|Electronic Arts,Electronic Arts,Nintendo|PlayStation|PC|Xbox,Action|Adventure,2005-11-08,7.0,5.7
a3167,b3170,Harry Potter and the Half-Blood Prince,EA Bright Light Studio|EA Bright Light,EA Games|Electronic Arts,PlayStation|Nintendo|Macintosh|Wii|PC|Xbox,Third-person action-adventure|Action|Adventure,2009-06-30,6.6,6.7
a3168,b3171,Harry Potter and the Order of the Phoenix,EA Games|Visual Impact|EA Bright Light,EA Games|Electronic Arts,PlayStation|Nintendo|Macintosh|Wii|PC|Xbox,Action|Adventure,2007-06-25,6.8,6.8
a3169,b3173,Harry Potter and the Prisoner of Azkaban,KnowWonder|KnowWonder (PC)|EA Games|Electronic Arts (XBOX/PS2/GC)|Griptonite Games (GBA),EA Games|Electronic Arts,Nintendo|PlayStation|PC|Xbox,Action|Adventure,2004-05-25,7.5,7.0
a3170,b3172,Harry Potter and the Philosopher's Stone,Warthog (GC/PS2/XBOX)|Griptonite (GBC)|Westlake Interactive (MAC)|KnowWonder|KnowWonder (PC)|Eurocom (GBA)|Westlake Interactive|Argonaut Games|Griptonite Games|Warthog|Argonaut (PS),Aspyr|Electronic Arts|EA Games|Electronic Arts Victor,PlayStation|Nintendo|Macintosh|PC|Xbox,Adventure|Action,2001-11-15,6.6,6.8
a3171,b3165,Harry Potter: Quidditch World Cup,Magic Pockets|EA Games|EA Sports|Electronic Arts,EA Games|EA Sports|Electronic Arts,Nintendo|PlayStation|PC|Xbox,Sports,2003-10-28,6.9,7.0
