Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating
Redactem,Elliott Marc Jones,Elliott Marc Jones|EMJ Publishing,PC,Platform|Puzzle,01 August 2016,6.0
Redshirt,The Tiniest Shark,Positech,PC,Role-Playing|Simulation|Strategy,13 November 2013,5.5
RefleX,Nyu Media,,PC,Arcade,,6.4
Refunct,Dominique Grieshofer,Dominique Grieshofer,Linux|Mac|PC|Xbox One,Adventure,16 October 2015,7.2
Regency Solitaire,Grey Alien Games,Grey Alien Games,Mac|PC,Card Game,18 May 2015,7.3
Regeria Hope: Episode 1,Golden Game Barn,Golden Game Barn,PC,Adventure,05 March 2016,5.0
Reigns,Nerial,Devolved Digital,Android|iOS|PC,Text|Multidirectional|Scrolling|Card Game|Roguelike,15 August 2016,7.0
Relic Hunters Zero,Rogue Snail,Zueira Digital,PC,Action,18 August 2015,6.3
Remember Me,Dontnod Entertainment,Capcom,PC|PlayStation 3|Xbox 360,Action|Adventure,04 June 2013,7.3
Renegade Ops,Avalanche Studios,Sega,PC|PlayStation 3|Xbox 360,Shooter,13 September 2011,7.4
Renegade Ops: Coldstrike DLC,Avalanche Studios,Sega,PC|PlayStation 3|Xbox 360,Shooter,26 October 2011,7.1
Renowned Explorers: International Society,Abbey Games,Abbey Games,PC,Adventure|Strategy,02 September 2015,7.5
Replica,Somi,Somi,Android|PC,Adventure,11 July 2016,6.7
Republique,Camouflaj,Camouflaj,PC|PlayStation 4,Action|Stealth,26 February 2015,6.5
Republique: Episode 1 - Exordium,Camouflaj|Logan,,Android|iOS|PC,Action|Stealth,19 December 2013,7.1
Reservoir Dogs,Volatile Games,Eidos Interactive|Lionsgate,PC|PlayStation 2,Third-Person Shooter,24 October 2006,5.4
Resident Evil,Capcom,Capcom,Nintendo DS|Nintendo GameCube|PC|PlayStation|PlayStation 2|PlayStation 3|Sega Saturn,Survival|Survival Horror,30 March 1996,8.3
Resident Evil 2,Capcom,Capcom,Dreamcast|Emulated|Nintendo 64|Nintendo GameCube|PC|PlayStation|PlayStation 2|PlayStation 3|PlayStation Vita|PSP,Survival|Survival Horror,21 January 1998,8.8
Resident Evil (2002),Capcom Production Studio 4,Capcom,Nintendo GameCube|PC|PlayStation|PlayStation 3|PlayStation 4|Wii,Survival|Survival Horror,30 April 2002,9.1
Resident Evil 3: Nemesis,Capcom,Capcom,Dreamcast|Nintendo GameCube|PC|PlayStation|PlayStation 2|PlayStation 3|PlayStation Vita|PSP,Survival|Survival Horror,10 November 1999,8.2
Resident Evil 4,Capcom,Capcom,Emulated|Nintendo GameCube|PC|PlayStation 2|PlayStation 3|PlayStation 4|Wii|Xbox 360|Xbox One,Third-Person|Shooter|Survival Horror,11 January 2005,9.0
Resident Evil 5,Capcom,Capcom,PC|PlayStation 3|PlayStation 4|Xbox 360|Xbox One,Third-Person|Action|Shooter|Survival Horror,05 March 2009,7.5
Resident Evil 5: Desperate Escape DLC,Capcom,Capcom,PC|PlayStation 3|PlayStation 4|Xbox 360,Third-person Shooter|Survival Horror,03 March 2010,6.6
Resident Evil 5: Lost In Nightmares DLC,Capcom,Capcom,PC|PlayStation 3|PlayStation 4|Xbox 360|Xbox One,Third-person Shooter|Survival Horror,17 February 2010,7.5
Resident Evil 6,Capcom,Capcom,PC|PlayStation 3|PlayStation 4|Xbox 360|Xbox One,Third-Person|Action|Adventure|Shooter,02 October 2012,6.7
Resident Evil 7: Biohazard,Capcom,Capcom,PC|PlayStation 4|PlayStation VR|Xbox One,First-Person|Survival|Survival Horror,24 January 2017,8.6
Resident Evil 7: Biohazard - End of Zoe,Capcom,Capcom,PC|PlayStation 4|Xbox One,First-Person|Shooter|Survival Horror,12 December 2017,6.8
Resident Evil 7: Biohazard - Not a Hero,Capcom,Capcom,PC|PlayStation 4|Xbox One,First-Person|Shooter|Survival Horror,12 December 2017,6.9
Resident Evil 7 Teaser: Beginning Hour,Capcom,Capcom,PC|PlayStation 4|Xbox One,Survival|Survival Horror,June 2016,7.6
Resident Evil Code: Veronica,Capcom Production Studio 4 Nextech|Sega,Capcom,Dreamcast|PlayStation 2,Survival|Survival Horror,29 February 2000,8.2
Resident Evil Code: Veronica X,Capcom,Capcom,Dreamcast|Nintendo GameCube|PlayStation 2|PlayStation 3|PlayStation 4|Xbox 360,Survival|Survival Horror,29 February 2000,8.0
Resident Evil: Dead Aim,Capcom Production Studio 3,Capcom,PlayStation 2,Action|Shooter,17 June 2003,5.7
Resident Evil: Deadly Silence,Capcom,Capcom,Nintendo 3DS|Nintendo DS,Survival|Survival Horror,07 February 2006,8.3
Resident Evil: Director's Cut,Capcom,Capcom,PlayStation|PlayStation 3|PlayStation Vita,Survival|Survival Horror,September 1997,8.3
Resident Evil Gaiden,Capcom|M4,Capcom,Game Boy Color,Top-Down|Action|Adventure|Survival Horror,03 June 2002,5.4
Resident Evil: HD Remaster,Capcom,Capcom,Nintendo GameCube|PC|PlayStation 3|PlayStation 4|Xbox 360|Xbox One,Third-Person|Action|Survival Horror,20 January 2015,8.8
Resident Evil: Operation Raccoon City,Slant Six Games|Capcom,Capcom,PC|PlayStation 3|Xbox 360,Third-Person|Shooter|Survival|Survival Horror,20 March 2012,4.7
Resident Evil Outbreak,Capcom Production Studio 1,Capcom,PlayStation 2,Survival|Survival Horror,31 March 2004,6.7
Resident Evil Outbreak File 2,Capcom,Capcom,PlayStation 2,Action|Adventure|Survival|Survival Horror,26 April 2005,7.2
Resident Evil: Revelations,Capcom|Tose,Nintendo,Nintendo 3DS|Nintendo Switch|PC|PlayStation 3|PlayStation 4|Wii U|Xbox 360|Xbox One,Third-Person|Survival|Survival Horror,07 February 2012,7.8
Resident Evil: Revelations 2,Capcom,Capcom,Nintendo Switch|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Xbox 360|Xbox One,Third-Person|Survival|Survival Horror,24 February 2015,7.4
Resident Evil: Revelations 2 - Episode 1,Capcom,Capcom,PC|PlayStation 3|PlayStation 4|Xbox One,Survival Horror,24 February 2015,7.4
Resident Evil: Revelations 2 - Episode 2,Capcom,Capcom,PC|PlayStation 4|Xbox One,Survival Horror,03 March 2015,7.5
Resident Evil: Revelations 2 - Episode 3,Capcom,Capcom,PC|PlayStation 3|PlayStation 4|Xbox One,Survival Horror,10 March 2015,7.3
Resident Evil: Revelations 2 - Episode 4,Capcom,Capcom,PC|PlayStation 3|PlayStation 4|Xbox One,Survival Horror,17 March 2015,7.5
Resident Evil: Revelations 2 - Little Miss,Capcom,Capcom,PC|PlayStation 4|Xbox One,Third-Person|Action|Adventure|Survival|Survival Horror,,6.1
Resident Evil: Revelations 2 - The Struggle,Capcom,Capcom,PC|PlayStation 4|Xbox One,Third-Person|Action|Adventure|Stealth|Survival|Survival Horror,,6.3
Resident Evil: Survivor,Capcom,Capcom,PlayStation,First-Person|Action|Shooter,30 August 2000,5.4
Resident Evil: The Darkside Chronicles,Capcom|Cavia,JP/NA/EU: Capcom|AUS: THQ Asia Pacific,PlayStation 3|Wii,On-Rails|Shooter,17 November 2009,7.3
Resident Evil: The Mercenaries 3D,Capcom &amp; Tose,Capcom,Nintendo 3DS,Third-Person|Shooter,28 June 2011,6.1
Resident Evil: The Umbrella Chronicles,Capcom|Cavia,Capcom,PlayStation 3|Wii|Wii U,On-Rails|Shooter,13 November 2007,6.9
Resident Evil Zero,Capcom Production Studio 3,Capcom,Nintendo GameCube|PC|PlayStation 4|Wii,Survival|Survival Horror,12 November 2002,7.7
Resident Evil Zero: HD Remaster,Capcom,Capcom,PC|PlayStation 3|PlayStation 4|Xbox 360|Xbox One,Third-Person|Survival|Survival Horror,19 January 2016,7.6
Residue: Final Cut,The Working Parts,The Working Parts,PC,Platform,August 2014,6.0
Resistance 2,Insomniac Games,Sony Computer Entertainment,PlayStation 3,First-person shooter,04 November 2008,7.5
Resistance 3,Insomniac Games,Sony Computer Entertainment,PlayStation 3,First-person shooter,06 September 2011,8.0
Resistance: Burning Skies,Nihilistic Software,Sony Computer Entertainment,PlayStation Vita,First-Person|Shooter,29 May 2012,6.1
Resistance: Fall of Man,Insomniac Games,SCE,PlayStation 3,First-Person|Shooter,17 November 2006,7.4
Resistance: Retribution,SCE Bend Studio,Sony Computer Entertainment,PlayStation Vita|PSP,Third-person shooter,17 March 2009,6.8
Resogun,Housemarque,Sony Computer Entertainment,PlayStation 3|PlayStation 4|PlayStation Vita,Scrolling|Shooter,15 November 2013,8.0
Resonance,Wadjet Eye Games,Wadjet Eye Games,Linux|PC,Adventure,19 June 2012,7.7
Resonance of Fate,tri-Ace,Sega,PlayStation 3|Xbox 360,Role-playing,16 March 2010,7.8
Retention,Sometimes You,,PC,,2011,3.4
Retro/Grade,24 Caret Games,24 Caret Games,PC|PlayStation 3,Music/Rhythm,20 March 2013,6.9
Retro City Rampage,Vblank Entertainment,D3 Publisher,PC|PlayStation 3|PlayStation Vita|Xbox 360,Action|Adventure|Open World|Racing,09 October 2012,7.2
Retro City Rampage DX,Vblank Entertainment,Vblank Entertainment,Mac|Nintendo 3DS|Nintendo Switch|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Xbox 360,Action|Adventure|Open World|Racing,06 February 2014,7.0
Retro Game Challenge,indieszero,JP: Namco Bandai Games|NA: Xseed Games,Nintendo DS,,10 February 2009,8.0
Retrovirus,Cadenza Interactive,,PC,Shooter,31 January 2013,7.2
Return to Castle Wolfenstein,Gray Matter Interactive|id Software,Activision,PC|Xbox,First-person shooter,19 November 2001,7.9
Return to Castle Wolfenstein: Tides of War,Nerve Software,Activision,Xbox,First-person Shooter,06 May 2003,8.0
Return to Mysterious Island,Kheops Studio,The Adventure Company,PC,Adventure,19 November 2004,7.2
