Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,WayForward,D3Publisher|Namco Bandai Games|Bandai Namco Games,3DS|PC|PlayStation 3|Wii U|Xbox 360,Adventure|Action,19 Nov 2013,5.2
Adventure Time: The Secret of the Nameless Kingdom,WayForward,Little Orbit|Bergsala-Lightweight,3DS|PC|PlayStation 3|PlayStation Vita|Xbox 360,Action|Adventure,18 Nov 2014,2.3
Adventures of Lolo,HAL Labs,Nintendo|HAL Labs,NES,Puzzle|Action,April 1989,7.9
Aedis Eclipse: Generation of Chaos,Idea Factory,Idea Factory|Ghostlight|NIS America,PSP,Strategy|Turn-Based,24 Apr 2007,7.2
Aegis Defenders,GUTS Department|Humble Bundle,GUTS Department|Humble Bundle|Humble Bundle|Inc.,Macintosh|Nintendo Switch|PC|PlayStation 4,Action|Role-Playing,8 Feb 2018,5.0
Aeon Flux,Terminal Reality,Majesco Games,PlayStation 2|Xbox,Action|Adventure,15 Nov 2005,7.3
Aerial Strike: The Yager Missions,Yager,DreamCatcher Interactive,PC,Action|Shooter|Team-Based|Third-Person|3D,4 Feb 2005,7.2
Aero Elite: Combat Academy,Sega AM2,Sega,PlayStation 2,Simulation|Flight,10 Mar 2003,7.3
Aero Fighters Assault,Paradigm Entertainment,Vic Tokai|Video System,Nintendo 64,Flight|Simulation,30 Oct 1997,6.5
Aero The Acro-Bat,Atomic Planet Entertainment|Iguana Entertainment,Metro3D|Zoo Digital Publishing|SunSoft,Game Boy Advance|Genesis|Super Nintendo,Platformer|Action|2D,October 1993,6.4
AeroGauge,Locomotive Corporation,ASCII Entertainment|ASK,Nintendo 64,Driving/Racing|Arcade,30 Apr 1998,5.8
AeroWings 2: Air Strike,CRI,CRI|Crave|Ubisoft,Dreamcast,Simulation|Flight,27 Aug 2000,7.9
AeroWings,CRI,CRI|Crave,Dreamcast,Simulation|Flight,9 Sep 1999,6.7
Affordable Space Adventures,KnapNok Games,KnapNok Games|Rainy Frog,Wii U,Shoot-'Em-Up|Action|2D,9 Apr 2015,7.8
Afro Samurai 2: Revenge of Kuma Volume One,Versus Evil,Versus Evil,PC|PlayStation 4,2D|Action|Beat-'Em-Up,22 Sep 2015,4.3
Afro Samurai,Namco Bandai Games,Atari SA|Namco Bandai Games,PlayStation 3|Xbox 360,Action|2D|Beat-'Em-Up,27 Jan 2009,7.3
After Burner: Black Falcon,Planet Moon Studios,Sega,PSP,Flight|Simulation,20 Mar 2007,7.2
After Burner Climax,Sega|Sega AM2,Sega,Arcade Games|iOS (iPhone/iPad)|PlayStation 3|Xbox 360,Simulation|Flight,November 2006,7.9
