,ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating,CleanRDate
2120,a2121,Dynasty Warriors 4,Omega Force,Koei|Koei Tecmo Games,PC|PlayStation 2|Xbox,Action|3D|Beat-'Em-Up,25 Mar 2003,8.3,2003-03-25
2121,a2122,Dynasty Warriors 5 Empires,Omega Force,Koei|Koei Tecmo Games,PlayStation 2|Xbox 360,3D|Beat-'Em-Up|Action,28 Mar 2006,8.0,2006-03-28
2122,a2123,Dynasty Warriors 5: Xtreme Legends,Omega Force,Koei,PlayStation 2,Beat-'Em-Up|Action|3D,16 Nov 2005,8.2,2005-11-16
2123,a2124,Dynasty Warriors 5,Omega Force,Koei|Koei Tecmo Games,PlayStation 2|Xbox,Action|3D|Beat-'Em-Up,29 Mar 2005,8.4,2005-03-29
2124,a2125,Dynasty Warriors 6 Empires,Omega Force,Koei|Koei Tecmo Games,PlayStation 3|Xbox 360,Action|3D|Beat-'Em-Up,23 Jun 2009,7.5,2009-06-23
2125,a2126,Dynasty Warriors 6,Omega Force|Koei,Koei|Koei Tecmo Games,PC|PlayStation 2|PlayStation 3|Xbox 360,Beat-'Em-Up|Action|3D,19 Feb 2008,7.9,2008-02-19
2126,a2127,Dynasty Warriors 9,Omega Force,Koei Tecmo Games|TECMO KOEI GAMES CO.|LTD.,PC|PlayStation 4|Xbox One,3D|Action|Beat-'Em-Up,13 Feb 2018,6.2,2018-02-13
2127,a2128,Dynasty Warriors Advance,Koei,Nintendo|Koei,Game Boy Advance,Action|3D|Beat-'Em-Up,29 Aug 2005,7.0,2005-08-29
2128,a2129,Dynasty Warriors DS: Fighter's Battle,Koei,Koei,DS,Action|3D|Beat-'Em-Up,25 Jul 2007,5.3,2007-07-25
2129,a2130,Dynasty Warriors: Godseekers,Omega Force,Koei Tecmo Games,PlayStation 3|PlayStation 4|PlayStation Vita,Strategy|Turn-Based,31 Jan 2017,4.5,2017-01-31
2130,a2131,Dynasty Warriors: Gundam 2,Omega Force,Bandai Namco Games|Namco Bandai Games|Koei,PlayStation 2|PlayStation 3|Xbox 360,Action|3D|Beat-'Em-Up,21 Apr 2009,7.4,2009-04-21
2131,a2132,Dynasty Warriors: Gundam,Omega Force|Koei,Namco Bandai Games|Koei,PlayStation 3|Xbox 360,Beat-'Em-Up|Action|3D,28 Aug 2007,7.4,2007-08-28
2132,a2133,Dynasty Warriors Next,Omega Force,Koei Tecmo Games|TECMO KOEI GAMES CO.|LTD.,PlayStation Vita,Action|3D|Beat-'Em-Up,21 Feb 2012,7.2,2012-02-21
2133,a2134,Dynasty Warriors: Strikeforce,Omega Force,Koei|Koei Tecmo Games,PlayStation 3|PSP|Xbox 360,Beat-'Em-Up|Action|3D,28 Apr 2009,7.8,2009-04-28
2134,a2135,Dynasty Warriors Vol. 2,Omega Force,Koei,PSP,3D|Beat-'Em-Up|Action,24 Oct 2006,7.9,2006-10-24
2135,a2136,Dynasty Warriors,Omega Force,Koei,PlayStation,Fighting|Action|3D,30 Jun 1997,7.5,1997-06-30
2136,a2137,EA Playground,Piranha Games|EA Canada,Electronic Arts,DS|Wii,Action,22 Oct 2007,6.4,2007-10-22
2137,a2138,EA Replay,Team Fusion,Electronic Arts,PSP,Compilation,14 Nov 2006,6.7,2006-11-14
2138,a2139,EA Sports Active More Workouts,Electronic Arts,Electronic Arts,Wii,Fitness,17 Nov 2009,7.1,2009-11-17
