,ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating,CleanRDate
6364,b6365,South Park,Iguana Entertainment|Appaloosa Interactive,Acclaim Entertainment|Gradiente,Nintendo 64|PC|PlayStation,First-Person|Shooter,12 December 1998,6.5,1998-12-12
6365,b6366,South Park: Chef's Luv Shack,Acclaim,Acclaim,Nintendo 64|PlayStation,Party,31 October 1999,4.2,1999-10-31
6366,b6367,South Park Let's Go Tower Defense Play!,Doublesix|Xbox Live Productions,Microsoft Game Studios,Xbox 360,Tower defense,07 October 2009,6.8,2009-10-07
6367,b6368,South Park: The Fractured but Whole,Ubisoft San Francisco|South Park Digital Studios,Ubisoft,PC|PlayStation 4|Xbox One,Role-Playing,17 October 2017,8.0,2017-10-17
6368,b6369,South Park: The Stick of Truth,Obsidian Entertainment,Ubisoft,PC|PlayStation 3|PlayStation 4|Xbox 360|Xbox One,Role-Playing,04 March 2014,8.6,2014-03-04
6369,b6370,SpaceChem,Zachtronics Industries,,PC,Puzzle game,01 January 2011,8.2,2011-01-01
6370,b6371,Space Ace,Advanced Microcomputer Systems,Cinematronics,PC|PlayStation 3,Action|Interactive Movie,15 April 1984,8.0,1984-04-15
6371,b6372,Space Channel 5,United Game Artists,Sega|Agetec,Dreamcast|PlayStation 2,Music,04 June 2000,6.6,2000-06-04
6372,b6373,Space Channel 5: Part 2,United Game Artists,Sega|Agetec,Dreamcast|PC|PlayStation 2|PlayStation 3|Xbox 360,Music,18 November 2003,8.4,2003-11-18
6373,b6374,Space Engineers,Keen Software House,Keen Software House,PC,Sandbox|Simulation,23 October 2013,5.8,2013-10-23
6374,b6375,Space Farmers,BumpkinBrothers,KISS,PC,,17 April 2014,5.3,2014-04-17
6375,b6376,Space Funeral,,,PC,Role-Playing,17 September 2010,8.3,2010-09-17
6376,b6377,Space Harrier,Sega-AM2,Sega,Arcade|Nintendo 3DS|Sega Master System|Sega Mega Drive/Genesis,Rail shooter|Third-person shooter,1986,7.2,1986-01-01
6377,b6378,Space Hulk (2013),Full Control,Full Control,PC,Turn-Based|Strategy,15 August 2013,6.7,2013-08-15
6378,b6379,Space Hulk: Deathwing,Streum On Studio,Focus Home Interactive,PC,First-Person|Shooter,09 December 2016,6.0,2016-12-09
6379,b6380,Space Invaders,Taito Corporation,Various,Arcade|Atari 2600|NES|PC,Action|Shooter,June 1978,6.3,1978-06-01
6380,b6381,Space Megaforce,Compile,Toho,Super Nintendo,Scrolling Shooter,1993,7.9,1993-01-01
6381,b6382,Space Pilgrim: Episode Four - Sol,Pilgrim Adventures|GrabTheGames Studios,GrabTheGames,PC,Adventure,04 March 2016,6.0,2016-03-04
6382,b6383,Space Pilgrim: Episode One - Alpha Centauri,Pilgrim Adventures|GrabTheGames Studios,GrabTheGames,PC,Adventure,14 December 2015,6.7,2015-12-14
6383,b6384,Space Pilgrim: Episode Three - Delta Pavonis,Pilgrim Adventures|GrabTheGames Studios,GrabTheGames,PC,Adventure,14 February 2016,6.3,2016-02-14
6384,b6385,Space Pilgrim: Episode Two - Epsilon Indi,Pilgrim Adventures|GrabTheGames Studios,GrabTheGames,PC,Adventure,09 January 2016,6.3,2016-01-09
6385,b6386,Space Pirate Trainer,I-Illusions,I-Illusions,PC,Virtual Reality|Action,05 April 2016,7.5,2016-04-05
6386,b6387,Space Pirates and Zombies,MinMax Games,,PC,Turn-Based|Role-Playing|Strategy,15 August 2011,7.0,2011-08-15
6387,b6388,Space Quest: Collection,,Activision,PC,Compilation,September 2006,7.0,2006-09-01
6388,b6389,Space Quest III: The Pirates of Pestulon,Sierra,Sierra,PC,Adventure,24 March 1989,7.6,1989-03-24
6389,b6390,Space Quest II: Vohaul's Revenge,Sierra,Sierra,PC,Adventure,14 November 1987,7.3,1987-11-14
6390,b6391,Space Quest IV: Roger Wilco and The Time Rippers,Sierra,Sierra,PC,Adventure,04 March 1991,7.9,1991-03-04
6391,b6392,Space Quest I: Roger Wilco in The Sarien Encounter,Sierra,Sierra,PC,Adventure,October 1986,7.7,1986-10-01
6392,b6393,Space Quest VI: Roger Wilco in The Spinal Frontier,Sierra,Sierra,PC,Adventure,1995,6.6,1995-01-01
6393,b6394,Space Quest V: Roger Wilco - The Next Mutation,Dynamix,Sierra,PC,Adventure,05 February 1993,8.0,1993-02-05
6394,b6395,Space Rangers,Elemental Games,1C Company,PC,Flight Combat|Simulation,11 June 2004,8.5,2004-06-11
6395,b6396,Space Rangers 2: Rise of the Dominators,Elemental Games,1C Company|Excalibur Publishing|Cinemaware Marquee,PC,Text adventure|real-time strategy|Space trading and combat simulator|turn-based strategy|shoot 'em up|role-playing,25 November 2004,8.2,2004-11-25
